Timestamp,total-bitcoins
2015-07-14 03:43:34,14380575
2015-07-17 07:22:06,14391875
2015-07-20 07:39:59,14403275
2015-07-23 13:48:08,14414975
2015-07-26 16:57:40,14426900
2015-07-29 21:00:16,14438575
2015-08-02 00:39:12,14450100
2015-08-05 05:23:17,14461700
2015-08-08 10:02:03,14473175
2015-08-11 08:38:25,14484775
2015-08-14 12:01:38,14496025
2015-08-17 21:54:46,14507800
2015-08-21 00:30:28,14519375
2015-08-24 00:30:47,14530925
2015-08-27 04:01:51,14542575
2015-08-30 06:00:13,14554275
2015-09-02 08:05:31,14566150
2015-09-05 08:37:42,14577700
2015-09-08 13:13:31,14589225
2015-09-11 12:30:26,14601000
2015-09-14 14:33:13,14612500
2015-09-17 16:00:58,14624000
